adaugaAnimal,2025-05-29T01:53:53.433191655
adaugaAdoptant,2025-05-29T01:53:53.438390505
adaugaAdoptie,2025-05-29T01:53:53.439778346
adaugaDonatie,2025-05-29T01:53:53.441570199
adaugaAngajat,2025-05-29T01:53:53.445197600
adaugaAnimal,2025-05-29T01:55:18.414767107
adaugaAdoptant,2025-05-29T01:55:18.787153928
adaugaAdoptie,2025-05-29T01:55:19.365277937
adaugaDonatie,2025-05-29T01:55:19.876032866
adaugaAngajat,2025-05-29T01:55:20.352534869
adaugaAnimal,2025-05-29T02:07:03.773434354
adaugaAdoptant,2025-05-29T02:07:03.784449486
adaugaDonatie,2025-05-29T02:07:03.789142295
adaugaAngajat,2025-05-29T02:07:03.793579613
adaugaAdoptie,2025-05-29T02:07:03.799995847
adaugaAnimal,2025-05-29T02:12:59.638016845
adaugaAdoptant,2025-05-29T02:12:59.859579653
adaugaDonatie,2025-05-29T02:13:00.027308577
adaugaAngajat,2025-05-29T02:13:00.338086300
adaugaAdoptie,2025-05-29T02:13:00.515963557
adaugaAnimal,2025-05-29T02:15:24.294378552
adaugaAdoptant,2025-05-29T02:15:24.604619627
adaugaDonatie,2025-05-29T02:15:24.771214184
adaugaAngajat,2025-05-29T02:15:24.948841409
adaugaAdoptie,2025-05-29T02:15:25.104422121
listareAnimaleDisponibile,2025-05-29T02:15:25.134509640
listareDonatii,2025-05-29T02:15:25.181347148
listareAngajati,2025-05-29T02:15:25.186726379
adaugaAnimal,2025-05-29T02:24:35.444895125
adaugaAdoptant,2025-05-29T02:24:35.599643978
adaugaDonatie,2025-05-29T02:24:35.799991593
adaugaAngajat,2025-05-29T02:24:35.966917412
adaugaAdoptie,2025-05-29T02:24:36.247376510
listareAnimaleDisponibile,2025-05-29T02:24:36.285120563
listareDonatii,2025-05-29T02:24:36.322246938
listareAngajati,2025-05-29T02:24:36.325239419
